method,n,seed,episode,edge_count,optimal_edge_count,optimality_ratio,absolute_gap,exact_optimum,turan_isomorphic,constraint_violations,terminal_maximal,episode_length,inference_time_seconds,parameter_count,checkpoint
gnn,6,0,45,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,46,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,47,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,48,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,49,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,50,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,51,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,52,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,53,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,54,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,55,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,56,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,57,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,58,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,59,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,60,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,61,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,62,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,63,9,9,1.0,0,1,1,0,1,9,0.0006147278749892848,38337,runs/mvp-seed-0/best.pt
gnn,6,0,64,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,65,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,66,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,67,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,68,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,69,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,70,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,71,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,72,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,73,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,74,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,75,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,76,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,77,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
