n,family,metric,mean,minimum_seed_mean,maximum_seed_mean,descriptive_ci95_low,descriptive_ci95_high,training_seeds
20,endpoint,edge_count,40.21666666666667,39.95,40.42,39.617204894756696,40.81612843857664,3
20,endpoint,exact,0.0,0.0,0.0,0.0,0.0,3
20,endpoint,seconds_per_graph,0.028981371393335092,0.028020817090000493,0.030586231250017592,0.0255065211603244,0.03245622162634578,3
20,gnn,edge_count,40.546666666666674,40.18,41.27,38.990491027073,42.10284230626035,3
20,gnn,exact,0.0,0.0,0.0,0.0,0.0,3
20,gnn,seconds_per_graph,0.03175250666667125,0.02715397750002012,0.036503088749996096,0.020135660264127567,0.04336935306921494,3
24,endpoint,edge_count,52.14000000000001,52.0,52.31,51.74958711313062,52.53041288686939,3
24,endpoint,exact,0.0,0.0,0.0,0.0,0.0,3
24,endpoint,seconds_per_graph,0.052364983886667084,0.05016431832998933,0.055524830000031215,0.04539442448255373,0.05933554329078044,3
24,gnn,edge_count,52.54,51.86,53.7,50.03212794929739,55.04787205070261,3
24,gnn,exact,0.0,0.0,0.0,0.0,0.0,3
24,gnn,seconds_per_graph,0.05897823430333423,0.050652563750009,0.06736676832999365,0.038217600845621535,0.07973886776104692,3
30,endpoint,edge_count,70.92333333333333,70.77,71.07,70.55043676340769,71.29622990325898,3
30,endpoint,exact,0.0,0.0,0.0,0.0,0.0,3
30,endpoint,seconds_per_graph,0.11096734110999629,0.10633526458001143,0.11791966624998168,0.09573747879060922,0.12619720342938334,3
30,gnn,edge_count,72.14333333333333,70.93,74.21,67.6748305851392,76.61183608152746,3
30,gnn,exact,0.0,0.0,0.0,0.0,0.0,3
30,gnn,seconds_per_graph,0.11371180624332433,0.10358638166002493,0.12053230040997732,0.09149536890916221,0.13592824357748645,3
35,endpoint,edge_count,87.84000000000002,87.68,88.11,87.25583136725888,88.42416863274116,3
35,endpoint,exact,0.0,0.0,0.0,0.0,0.0,3
35,endpoint,seconds_per_graph,0.18459119152335915,0.1801119845800349,0.19012011166003503,0.17195694545170703,0.19722543759501127,3
35,gnn,edge_count,89.36,87.71,92.14,83.34453858202899,95.37546141797101,3
35,gnn,exact,0.0,0.0,0.0,0.0,0.0,3
35,gnn,seconds_per_graph,0.19703434791666952,0.19341816500000278,0.19942954417001602,0.18911923016219306,0.20494946567114597,3
40,endpoint,edge_count,106.10666666666668,106.0,106.17,105.87585119170932,106.33748214162405,3
40,endpoint,exact,0.0,0.0,0.0,0.0,0.0,3
40,endpoint,seconds_per_graph,0.2815224115266634,0.24991068375002215,0.3078533654199782,0.20866245681665996,0.35438236623666686,3
40,gnn,edge_count,107.97000000000001,105.99,111.79,99.7500937885679,116.18990621143213,3
40,gnn,exact,0.0,0.0,0.0,0.0,0.0,3
40,gnn,seconds_per_graph,0.3054028866633356,0.2828113829100039,0.3185140970800057,0.25659239852262283,0.35421337480404835,3
