method,n,seed,episode,feasible_decisions,mixed_group_states,unavoidable_alias_states,sum_bad_action_mass,sum_bad_mass_in_mixed_groups,chosen_bad_action,chosen_bad_in_mixed_group,first_loss_bad_mass,trajectory_has_mixed_group,trajectory_has_unavoidable_alias
candidate,24,1,6,144,11.0,0.0,0.9309950951665087,0.13973757424810174,0,0.0,,1.0,0.0
candidate,24,1,7,14,6.0,0.0,0.07605322985909879,0.04087865352630615,1,1.0,0.058606854639947414,1.0,0.0
candidate,24,1,8,13,4.0,0.0,0.2243543983786367,0.04383653204422444,1,0.0,0.06061704352032393,1.0,0.0
candidate,24,1,9,144,2.0,0.0,0.7353034026798468,0.01754838414490223,0,0.0,,1.0,0.0
candidate,40,1,0,48,32.0,0.0,3.938844375070744,1.861467063323687,1,1.0,0.27484471285785617,1.0,0.0
candidate,40,1,1,24,15.0,0.0,0.734338050664519,0.46261406374833314,1,1.0,0.08881240922346478,1.0,0.0
candidate,40,1,2,25,6.0,0.0,0.24800078451517038,0.13065650113276206,1,1.0,0.07543665221601259,1.0,0.0
candidate,40,1,3,22,11.0,0.0,0.19143809436354786,0.15411194339685608,1,1.0,0.07632866279163864,1.0,0.0
candidate,40,1,4,21,13.0,0.0,0.19258001435082406,0.16642058396246284,1,1.0,0.037036816123872995,1.0,0.0
candidate,40,1,5,69,38.0,0.0,1.8893946000111441,0.6776034851222903,1,0.0,0.02384537269244902,1.0,0.0
candidate,40,1,6,25,15.0,0.0,0.7784107042098185,0.6373835049525951,1,1.0,0.11143417424318613,1.0,0.0
candidate,40,1,7,51,42.0,0.0,4.523962842143959,2.099352051707342,1,1.0,0.2448634710826525,1.0,0.0
candidate,40,1,8,21,11.0,0.0,0.1781257213151548,0.15248111603432335,1,1.0,0.03397355959168635,1.0,0.0
candidate,40,1,9,30,24.0,0.0,1.1353540241107112,0.5833772359328577,1,1.0,0.13730819369811798,1.0,0.0
candidate,14,2,0,49,1.0,0.0,0.4877860762169348,0.012404156383126974,0,0.0,,1.0,0.0
candidate,14,2,1,49,5.0,0.0,0.9147287041164418,0.14650933386292309,0,0.0,,1.0,0.0
candidate,14,2,2,14,0.0,0.0,0.5623923335660947,0.0,1,0.0,0.22609964371076785,0.0,0.0
candidate,14,2,3,49,4.0,0.0,0.40946952588274144,0.03705275832908228,0,0.0,,1.0,0.0
candidate,14,2,4,49,7.0,0.0,0.2675167770066764,0.0851848935126327,0,0.0,,1.0,0.0
candidate,14,2,5,49,1.0,0.0,0.28466828753062146,0.01041270513087511,0,0.0,,1.0,0.0
candidate,14,2,6,49,2.0,0.0,0.25558466534130275,0.02281686384230852,0,0.0,,1.0,0.0
candidate,14,2,7,49,7.0,0.0,0.8927203480670869,0.10810576268704608,0,0.0,,1.0,0.0
candidate,14,2,8,14,8.0,0.0,0.3195334496213036,0.17450825235027878,1,1.0,0.13024965546173917,1.0,0.0
candidate,14,2,9,49,5.0,0.0,0.7558745839414769,0.06784550145675894,0,0.0,,1.0,0.0
candidate,24,2,0,34,2.0,0.0,0.45979454773487305,0.018660921836271882,1,0.0,0.025348452348225692,1.0,0.0
candidate,24,2,1,144,16.0,0.0,0.8169977304978602,0.20637620017623703,0,0.0,,1.0,0.0
candidate,24,2,2,20,11.0,0.0,0.2599918740688736,0.19738593055626552,1,1.0,0.030766826344006404,1.0,0.0
candidate,24,2,3,38,9.0,0.0,0.8360195974664748,0.25016393906844314,1,0.0,0.027579784393310547,1.0,0.0
candidate,24,2,4,144,17.0,0.0,1.2609829266884844,0.6151444019635619,0,0.0,,1.0,0.0
candidate,24,2,5,29,14.0,0.0,0.7754728546838123,0.15236513354466297,1,0.0,0.28039627576572457,1.0,0.0
candidate,24,2,6,30,18.0,0.0,1.1578013851515152,0.8114857952534749,1,0.0,0.22323809699332742,1.0,0.0
candidate,24,2,7,28,1.0,0.0,0.4984593345423036,0.005235005635768175,1,0.0,0.1299457444803238,1.0,0.0
candidate,24,2,8,16,6.0,0.0,0.10363057721406221,0.10363057721406221,1,1.0,0.025064425892196596,1.0,0.0
candidate,24,2,9,11,5.0,0.0,0.09489937219768763,0.03906245226971805,1,1.0,0.015184488845989108,1.0,0.0
candidate,40,2,0,30,20.0,0.0,1.348791846408858,0.553103700542124,1,0.0,0.2075559918594081,1.0,0.0
candidate,40,2,1,19,8.0,0.0,0.30146160768345,0.26171560713555664,1,1.0,0.0722857786458917,1.0,0.0
candidate,40,2,2,26,12.0,0.0,0.9025336435006466,0.7704872442118358,1,1.0,0.16363971211831085,1.0,0.0
candidate,40,2,3,29,21.0,0.0,0.7968166300906887,0.6169232602624106,1,1.0,0.1177894377742632,1.0,0.0
candidate,40,2,4,26,10.0,0.0,0.4456443145754747,0.34847851093218196,1,0.0,0.13124553572561126,1.0,0.0
candidate,40,2,5,28,13.0,0.0,1.1162629899481544,0.9431812682450982,1,1.0,0.15052072354592383,1.0,0.0
candidate,40,2,6,31,19.0,0.0,0.7997434917779174,0.7634371796448249,1,1.0,0.1371305746724829,1.0,0.0
candidate,40,2,7,28,16.0,0.0,0.38137508009094745,0.26127569715026766,1,1.0,0.14283423792221583,1.0,0.0
candidate,40,2,8,28,11.0,0.0,0.3693269384384621,0.3414623540593311,1,1.0,0.11110250288038515,1.0,0.0
candidate,40,2,9,400,31.0,0.0,3.3332838275819086,0.23333199515968772,0,0.0,,1.0,0.0
candidate,14,3,0,18,6.0,0.0,0.23944213309732731,0.06858257367275655,1,0.0,0.05492499646061333,1.0,0.0
candidate,14,3,1,27,3.0,0.0,0.7288624883674117,0.033928867895156145,1,0.0,0.06574727967381477,1.0,0.0
candidate,14,3,2,7,1.0,0.0,0.08026216411963105,0.012738661840558052,1,0.0,0.042667428497225046,1.0,0.0
candidate,14,3,3,18,2.0,0.0,0.505714900410851,0.03277270682156086,1,0.0,0.08170277109456947,1.0,0.0
candidate,14,3,4,49,0.0,0.0,0.2358912671734288,0.0,0,0.0,,0.0,0.0
candidate,14,3,5,23,3.0,0.0,0.5136533047050307,0.06396026816219091,1,0.0,0.008966283523477614,1.0,0.0
candidate,14,3,6,49,4.0,0.0,0.4857503133825958,0.055847773561254144,0,0.0,,1.0,0.0
candidate,14,3,7,49,3.0,0.0,0.6141240578272118,0.029994424432516098,0,0.0,,1.0,0.0
candidate,14,3,8,49,3.0,0.0,0.42272671233138226,0.05067821900593117,0,0.0,,1.0,0.0
candidate,14,3,9,18,1.0,0.0,0.40372979966196,0.020810069516301155,1,0.0,0.10544876125641167,1.0,0.0
candidate,24,3,0,35,17.0,0.0,1.5207686108713858,0.8957700926130201,1,0.0,0.07357109873905188,1.0,0.0
candidate,24,3,1,144,0.0,0.0,1.1620596733268371,0.0,0,0.0,,0.0,0.0
candidate,24,3,2,7,0.0,0.0,0.017672967165708542,0.0,1,0.0,0.017672967165708542,0.0,0.0
candidate,24,3,3,144,18.0,0.0,1.370914253793785,0.36467756150386776,0,0.0,,1.0,0.0
candidate,24,3,4,40,13.0,0.0,0.6852993636471183,0.19312544770764362,1,0.0,0.02385683618922485,1.0,0.0
candidate,24,3,5,12,2.0,0.0,0.10520336532499641,0.017424486577510834,1,0.0,0.03589517332147807,1.0,0.0
candidate,24,3,6,144,13.0,0.0,2.2688926494872703,0.6628964058540987,0,0.0,,1.0,0.0
candidate,24,3,7,14,5.0,0.0,0.13934546418022364,0.10699719784315675,1,1.0,0.03058938060712535,1.0,0.0
candidate,24,3,8,39,6.0,0.0,1.524364346997956,0.21314677351620048,1,0.0,0.07259768696962965,1.0,0.0
candidate,24,3,9,8,1.0,0.0,0.06187603436410427,0.012698945589363575,1,0.0,0.023577533662319183,1.0,0.0
candidate,40,3,0,34,23.0,0.0,1.1561959890104845,0.9017628744059039,1,0.0,0.1012508555736531,1.0,0.0
candidate,40,3,1,44,11.0,0.0,1.0151197507038887,0.20971582827041857,1,0.0,0.039813066243198136,1.0,0.0
candidate,40,3,2,24,14.0,0.0,0.8120514722540975,0.5920893615111709,1,1.0,0.10834698827238753,1.0,0.0
candidate,40,3,3,27,17.0,0.0,0.9287325781333493,0.6413295982201817,1,1.0,0.1364384939079173,1.0,0.0
candidate,40,3,4,34,25.0,0.0,1.2536967436653867,0.9112425438997889,1,1.0,0.03591329159007728,1.0,0.0
candidate,40,3,5,25,15.0,0.0,0.3937761510896962,0.240611856628675,1,1.0,0.17262293052044697,1.0,0.0
candidate,40,3,6,68,53.0,0.0,4.286444428980786,2.6061930154353377,1,0.0,0.0907493434835942,1.0,0.0
candidate,40,3,7,35,24.0,0.0,2.1319220553486957,1.0662143120498513,1,0.0,0.11948984975606436,1.0,0.0
candidate,40,3,8,19,8.0,0.0,0.27015105745522305,0.18427713532582857,1,1.0,0.05823013433837332,1.0,0.0
candidate,40,3,9,10,2.0,0.0,0.05864862026646733,0.014654192375019193,1,0.0,0.028851656708866358,1.0,0.0
candidate,14,4,0,13,3.0,0.0,0.5400455067622261,0.0675220770190208,1,0.0,0.21759116678549617,1.0,0.0
candidate,14,4,1,49,8.0,0.0,0.49924916256713914,0.07888827014539856,0,0.0,,1.0,0.0
candidate,14,4,2,49,1.0,0.0,0.26904471135071617,0.006926177709829062,0,0.0,,1.0,0.0
candidate,14,4,3,49,6.0,0.0,0.41012813198176445,0.1025254412452341,0,0.0,,1.0,0.0
candidate,14,4,4,49,1.0,0.0,0.2556341440540564,0.030170248821377754,0,0.0,,1.0,0.0
