method,n,seed,episode,feasible_decisions,mixed_group_states,unavoidable_alias_states,sum_bad_action_mass,sum_bad_mass_in_mixed_groups,chosen_bad_action,chosen_bad_in_mixed_group,first_loss_bad_mass,trajectory_has_mixed_group,trajectory_has_unavoidable_alias
gnn,40,0,4.5,30.1,1.3,0.0,1.78248793298917,0.006348838086705655,1.0,0.0,0.2104097161856771,0.5,0.0
gnn,40,1,4.5,72.2,1.9,0.0,0.9608182060509931,0.024297222186578437,0.9,0.0,0.21085632343650257,0.7,0.0
gnn,40,2,4.5,37.5,2.9,0.0,1.5077096480435557,0.06278303306098679,1.0,0.1,0.20931490768793992,0.8,0.0
gnn,40,3,4.5,29.1,1.5,0.0,0.7059669102406133,0.01349788373336196,1.0,0.0,0.14065686400590494,0.9,0.0
gnn,40,4,4.5,254.1,0.1,0.0,0.9878184859361795,1.4695660502184182e-05,0.6,0.0,0.10933793129515834,0.1,0.0
mlp,14,0,4.5,32.3,,,0.3420369938688509,,0.5,,0.03874875530382269,,
mlp,14,1,4.5,31.8,,,0.37076919267078096,,0.5,,0.1707854414200483,,
mlp,14,2,4.5,35.2,,,0.40398928437688114,,0.4,,0.036907300916254826,,
mlp,14,3,4.5,24.8,,,0.3039991810896055,,0.7,,0.0811195689714493,,
mlp,14,4,4.5,37.5,,,0.4539836984502926,,0.4,,0.10119427226891275,,
mlp,24,0,4.5,31.3,,,0.5229941793909489,,0.9,,0.051877695523738034,,
mlp,24,1,4.5,60.2,,,1.0965256133735692,,0.7,,0.1421440155294249,,
mlp,24,2,4.5,62.2,,,0.8546124285935356,,0.7,,0.06501359573320135,,
mlp,24,3,4.5,34.1,,,0.6341004858714114,,0.9,,0.06048935662014464,,
mlp,24,4,4.5,42.3,,,0.9178178654814133,,0.9,,0.08546679654445041,,
untrained_gnn,14,0,4.5,13.6,0.1,0.0,1.1866911014541983,0.002433784119784832,1.0,0.0,0.3436523970216513,0.1,0.0
untrained_gnn,14,1,4.5,13.4,0.4,0.0,1.0633377842605114,0.025611322559416293,1.0,0.0,0.2565509645268321,0.3,0.0
untrained_gnn,14,2,4.5,13.1,0.2,0.0,1.0409006441943347,0.005443859286606312,1.0,0.1,0.2956550528295338,0.2,0.0
untrained_gnn,14,3,4.5,13.3,0.3,0.0,0.9140860830433667,0.03044875608757138,1.0,0.1,0.2608070972375572,0.3,0.0
untrained_gnn,14,4,4.5,12.4,0.0,0.0,0.8207404367625714,0.0,1.0,0.0,0.29638771070167425,0.0,0.0
untrained_gnn,24,0,4.5,20.5,0.4,0.0,1.1035405490547419,0.00834951624274254,1.0,0.0,0.2909611660521477,0.2,0.0
untrained_gnn,24,1,4.5,19.5,0.4,0.0,1.0939767754171044,0.009957222361117601,1.0,0.0,0.18604012904688716,0.3,0.0
untrained_gnn,24,2,4.5,19.3,0.2,0.0,0.9554568556370213,0.005739863589406013,1.0,0.0,0.1966394635848701,0.2,0.0
untrained_gnn,24,3,4.5,20.9,0.7,0.0,0.8143486316781491,0.012982309958897532,1.0,0.0,0.21662025121040643,0.4,0.0
untrained_gnn,24,4,4.5,19.8,0.2,0.0,1.0457442165818065,0.0044403188861906525,1.0,0.0,0.24023712128400804,0.2,0.0
untrained_gnn,40,0,4.5,27.6,0.8,0.0,0.6335946471313946,0.011579632048960776,1.0,0.0,0.12473234051140025,0.3,0.0
untrained_gnn,40,1,4.5,28.1,2.2,0.0,0.9793966162134893,0.01812077375361696,1.0,0.0,0.13425302421674132,0.5,0.0
untrained_gnn,40,2,4.5,30.2,1.3,0.0,0.7394683141261339,0.019709366862662135,1.0,0.2,0.15681362350005656,0.4,0.0
untrained_gnn,40,3,4.5,30.6,0.5,0.0,1.0924945874488912,0.0029298503883183,1.0,0.0,0.18714016126468777,0.3,0.0
untrained_gnn,40,4,4.5,31.2,0.9,0.0,1.1317634484963492,0.014500190713442862,1.0,0.0,0.18649708781158553,0.5,0.0
untrained_mlp,14,0,4.5,12.3,,,0.8660652090795338,,1.0,,0.32137870201840996,,
untrained_mlp,14,1,4.5,12.7,,,0.7836772804148495,,1.0,,0.30746409613639114,,
untrained_mlp,14,2,4.5,11.6,,,0.6318873376585543,,1.0,,0.2718062734231353,,
untrained_mlp,14,3,4.5,13.3,,,1.0976803604513408,,1.0,,0.2591662841849029,,
untrained_mlp,14,4,4.5,14.0,,,1.1560135959647595,,1.0,,0.21366196181625127,,
untrained_mlp,24,0,4.5,22.1,,,1.2109867327148094,,1.0,,0.20859815035946666,,
untrained_mlp,24,1,4.5,20.3,,,1.3616686046356334,,1.0,,0.2792766882572323,,
untrained_mlp,24,2,4.5,20.7,,,1.12410788834095,,1.0,,0.24990048550534993,,
untrained_mlp,24,3,4.5,19.4,,,0.940232499409467,,1.0,,0.2159349046414718,,
untrained_mlp,24,4,4.5,20.0,,,1.229971709032543,,1.0,,0.22342268456704914,,
