record_id,graph_sha256,graph_reference,outcome,method,n,seed,episode
candidate/s0/n24/e0,90c59ac62f3d8ecb4a113da38c22c68eed028dcaf756796e229d2e053052287f,study/artifacts/evaluation/candidate/seed-0/n-24/chunk-000000.json.gz,nonbipartite,candidate,24,0,0
candidate/s0/n24/e2,0e4928e1f21ecc7ca75e54d1b7c88516dad32f97c5e9e648be47eb25307f7877,study/artifacts/evaluation/candidate/seed-0/n-24/chunk-000000.json.gz,exact,candidate,24,0,2
candidate/s0/n24/e23,3959c35f3e7e343bdcad59e32a3b51adb0491baddfac933479272244057419ef,study/artifacts/evaluation/candidate/seed-0/n-24/chunk-000000.json.gz,unbalanced_bipartite,candidate,24,0,23
candidate/s0/n25/e0,ef463a852f886de9df281ab547025afa795d90e031d6f844d35e433965e50f9f,study/artifacts/evaluation/candidate/seed-0/n-25/chunk-000000.json.gz,exact,candidate,25,0,0
candidate/s0/n25/e1,f08d2dab4f2b792e164eec25f34eee3de94f1810681e9ec0ee2509377bb6077e,study/artifacts/evaluation/candidate/seed-0/n-25/chunk-000000.json.gz,nonbipartite,candidate,25,0,1
candidate/s0/n25/e17,27f19410d56fd5da42b38025c22014a7441405073e89965ba9a85a6d81976aa8,study/artifacts/evaluation/candidate/seed-0/n-25/chunk-000000.json.gz,unbalanced_bipartite,candidate,25,0,17
candidate/s0/n30/e0,932422d933f3c6d3d9e7706ff7c033184f8e653f5a30d8a7b8750242b090dfcd,study/artifacts/evaluation/candidate/seed-0/n-30/chunk-000000.json.gz,nonbipartite,candidate,30,0,0
candidate/s0/n30/e13,f2a7d81cc5b98624e30798d209873cf2e1c6b2ba5fd50f94a8ba00347ddaa77c,study/artifacts/evaluation/candidate/seed-0/n-30/chunk-000000.json.gz,unbalanced_bipartite,candidate,30,0,13
candidate/s0/n30/e33,59bb07e55b969f8c1ec69ecf11cb5cc571c3d2551a40e5bdaa23262c50c74a34,study/artifacts/evaluation/candidate/seed-0/n-30/chunk-000032.json.gz,exact,candidate,30,0,33
candidate/s0/n40/e0,a9c261be0e82e869c4c84a15d0cfe4b58656ae720a0766ba50bb34a45c521c0c,study/artifacts/evaluation/candidate/seed-0/n-40/chunk-000000.json.gz,nonbipartite,candidate,40,0,0
candidate/s0/n40/e74,8bf08c7459e25e37727d6d117e3a801f4ccdb670a0905ea9444603b1c9d34c3f,study/artifacts/evaluation/candidate/seed-0/n-40/chunk-000064.json.gz,unbalanced_bipartite,candidate,40,0,74
candidate/s0/n40/e79,5c569b2326628af0301a81f7ca6152c7f0d8bfdf7d8d4c259c6c32c53b3bfb5f,study/artifacts/evaluation/candidate/seed-0/n-40/chunk-000064.json.gz,exact,candidate,40,0,79
candidate/s0/n6/e0,688b2e0e642beefd197508c296aa64cd59c2e19411fa3f999e1dca65873b1e18,study/artifacts/evaluation/candidate/seed-0/n-6/chunk-000000.json.gz,exact,candidate,6,0,0
candidate/s0/n6/e38,bf9ceffe1cec860c41041176b8a49646ceb0255b73ed955c57e7debc87a1e67c,study/artifacts/evaluation/candidate/seed-0/n-6/chunk-000032.json.gz,unbalanced_bipartite,candidate,6,0,38
candidate/s0/n7/e0,6668667bffd21feb9f1fd8bf3c1e6f6e95ee5f657561307e5282813bc9d2d9e2,study/artifacts/evaluation/candidate/seed-0/n-7/chunk-000000.json.gz,exact,candidate,7,0,0
candidate/s0/n7/e76,809171f1eea266eb0f86076db7ed9ac8e14996beeb0ec48c09f6e270d18c227e,study/artifacts/evaluation/candidate/seed-0/n-7/chunk-000064.json.gz,nonbipartite,candidate,7,0,76
candidate/s0/n8/e0,4c38dfb7ff1980f6d30e29f45ef21385ba349b58b96fadbbaad0b19d70afb60a,study/artifacts/evaluation/candidate/seed-0/n-8/chunk-000000.json.gz,exact,candidate,8,0,0
candidate/s0/n8/e28,43354da1b7f412ef889383c570e57193a851e8f2efd2cb7fbfbef85e3f8f2495,study/artifacts/evaluation/candidate/seed-0/n-8/chunk-000000.json.gz,unbalanced_bipartite,candidate,8,0,28
candidate/s0/n8/e55,bf850d4d036c4cfb083f7bc8e9cb1cd4fe1d9976896890a434ee909f5246bc19,study/artifacts/evaluation/candidate/seed-0/n-8/chunk-000032.json.gz,nonbipartite,candidate,8,0,55
candidate/s0/n9/e0,5248f874f85a4bc9ec11e44eb2d1fe8379605859f0caae5b197e2f73175e636f,study/artifacts/evaluation/candidate/seed-0/n-9/chunk-000000.json.gz,exact,candidate,9,0,0
candidate/s0/n9/e36,37bff015cb76d7264c422be2973606981e3cbb269909f24bd0ed1fd9ee7cd1ed,study/artifacts/evaluation/candidate/seed-0/n-9/chunk-000032.json.gz,nonbipartite,candidate,9,0,36
candidate/s1/n10/e0,51f17e081ddb9a3f6e8e3b3f42a1c7cd505bc58d5423f75908cb2ee92d37422d,study/artifacts/evaluation/candidate/seed-1/n-10/chunk-000000.json.gz,exact,candidate,10,1,0
candidate/s1/n10/e4,24f65d2060ec1d99ce25fd1089c9dae84bcec322af0480622bc861e692e455c3,study/artifacts/evaluation/candidate/seed-1/n-10/chunk-000000.json.gz,unbalanced_bipartite,candidate,10,1,4
candidate/s1/n10/e33,7cf1d9a18007c29d2188290d60bcc913c85fcb322b229ee88fbe2a774e6f9cc3,study/artifacts/evaluation/candidate/seed-1/n-10/chunk-000032.json.gz,nonbipartite,candidate,10,1,33
candidate/s1/n11/e0,aeca7fd6263a4e22fe3a8406cd5f1d687b1f047e763fa3177edacdcb1332d6e5,study/artifacts/evaluation/candidate/seed-1/n-11/chunk-000000.json.gz,exact,candidate,11,1,0
candidate/s1/n11/e9,4b51354b573a16d2d0765d721c3cf86eb3c4ea51db961bef6957b860368f14ce,study/artifacts/evaluation/candidate/seed-1/n-11/chunk-000000.json.gz,nonbipartite,candidate,11,1,9
candidate/s1/n12/e0,75768db798aead1ba7e3549a7760e265b01e7e85e023a6b47f17fae69cdf747f,study/artifacts/evaluation/candidate/seed-1/n-12/chunk-000000.json.gz,exact,candidate,12,1,0
candidate/s1/n12/e5,676d54fec1245b8817a510672adb72f0df4d4975cbb1abc1cc85b2768297069e,study/artifacts/evaluation/candidate/seed-1/n-12/chunk-000000.json.gz,nonbipartite,candidate,12,1,5
candidate/s1/n12/e6,392da8d79a01ffb937ac63a30435a19be1c303e44bd4161bb2687bca8e3ef19a,study/artifacts/evaluation/candidate/seed-1/n-12/chunk-000000.json.gz,unbalanced_bipartite,candidate,12,1,6
candidate/s1/n13/e0,dcddbf8c76492686a1dba6ed8182ad76a347617c8ddb8fbdf1f79d0c1f1879db,study/artifacts/evaluation/candidate/seed-1/n-13/chunk-000000.json.gz,exact,candidate,13,1,0
candidate/s1/n13/e6,4021e1774d8f57f707e1d2806bd33d0df399e44fa34986297bb32e3a40e0e900,study/artifacts/evaluation/candidate/seed-1/n-13/chunk-000000.json.gz,nonbipartite,candidate,13,1,6
candidate/s1/n14/e0,5a60299e8ec26626e3c912ce9a4f89ede68cd5f698b5e6f24e7d0c3da16f7477,study/artifacts/evaluation/candidate/seed-1/n-14/chunk-000000.json.gz,unbalanced_bipartite,candidate,14,1,0
candidate/s1/n14/e1,b960798ff250cef1369964c0696e56f4483b2660b5dad984128410ae6f3f978e,study/artifacts/evaluation/candidate/seed-1/n-14/chunk-000000.json.gz,exact,candidate,14,1,1
