method,n,metric,mean,ci95_halfwidth,seed_count
gnn,24,exact_optimum,0.64,0.24252212235424855,5
gnn,24,absolute_gap,1.238,2.505338282871784,5
gnn,24,inference_time_seconds,0.06724296483799838,0.0026373464589288546,5
gnn,24,first_loss_step,29.119743699578784,16.29861530365134,5
gnn,24,first_odd_cycle_step,30.678571428571427,,2
gnn,24,parameter_count,38337.0,0.0,5
gnn,24,exact_rate,0.64,0.24252212235424855,5
gnn,24,unbalanced_bipartite_rate,0.302,0.10659524520488062,5
gnn,24,nonbipartite_rate,0.05800000000000001,0.15418647362850382,5
gnn,24,odd_cycle_first_loss_rate,0.038,0.09871033553600905,5
gnn,24,partition_imbalance_first_loss_rate,0.322,0.15090177098069563,5
gnn,40,optimality_ratio,0.9790800000000001,0.039806796964720774,5
gnn,40,exact_optimum,0.46399999999999997,0.2162421218516979,5
gnn,40,absolute_gap,8.367999999999999,15.922718785888305,5
gnn,40,inference_time_seconds,0.4676214283280061,0.026544812498231766,5
gnn,40,first_loss_step,47.52765941816044,30.558314122134767,5
gnn,40,first_odd_cycle_step,36.57654403567447,36.476651550107434,5
gnn,40,parameter_count,38337.0,0.0,5
gnn,40,exact_rate,0.46399999999999997,0.2162421218516979,5
gnn,40,unbalanced_bipartite_rate,0.33,0.14612649780046663,5
gnn,40,nonbipartite_rate,0.20600000000000002,0.3379516536532581,5
gnn,40,odd_cycle_first_loss_rate,0.164,0.2623116217218563,5
gnn,40,partition_imbalance_first_loss_rate,0.372,0.09141210973191499,5
mlp,14,optimality_ratio,0.7543673469387755,0.015553320156045122,5
mlp,14,exact_optimum,0.014000000000000002,0.011105780420791193,5
mlp,14,absolute_gap,12.036,0.7621126876462134,5
mlp,14,inference_time_seconds,0.006529777420000706,0.00035626888523941955,5
mlp,14,first_loss_step,13.261709882328438,0.3781234187509726,5
mlp,14,first_odd_cycle_step,14.120966485477762,0.31550146130100604,5
mlp,14,parameter_count,37990.0,0.0,5
mlp,14,exact_rate,0.014000000000000002,0.011105780420791193,5
mlp,14,unbalanced_bipartite_rate,0.006,0.011105780420791196,5
mlp,14,nonbipartite_rate,0.9800000000000001,0.021506251308180364,5
