method,n,seed,optimality_ratio,exact_optimum,absolute_gap,inference_time_seconds,first_loss_step,first_odd_cycle_step,parameter_count,exact_rate,unbalanced_bipartite_rate,nonbipartite_rate,odd_cycle_first_loss_rate,partition_imbalance_first_loss_rate
endpoint_parity,15,2,1.0,1.0,0.0,0.01204442459000342,,,13185.0,1.0,0.0,0.0,0.0,0.0
endpoint_parity,15,3,1.0,1.0,0.0,0.011600786660019312,,,13185.0,1.0,0.0,0.0,0.0,0.0
endpoint_parity,15,4,0.999642857142857,0.99,0.02,0.012072317909987716,16.0,,13185.0,0.99,0.01,0.0,0.0,0.01
endpoint_parity,24,0,0.9961805555555556,0.57,0.55,0.0630799699999988,30.6046511627907,,13185.0,0.57,0.43,0.0,0.0,0.43
endpoint_parity,24,1,0.9983333333333333,0.76,0.24,0.07105019875998547,133.0,,13185.0,0.76,0.24,0.0,0.0,0.24
endpoint_parity,24,2,0.9988194444444445,0.83,0.17,0.06815774042002884,66.94117647058823,,13185.0,0.83,0.17,0.0,0.0,0.17
endpoint_parity,24,3,0.9984027777777778,0.77,0.23,0.06762087040999172,91.04347826086956,,13185.0,0.77,0.23,0.0,0.0,0.23
endpoint_parity,24,4,0.9972916666666667,0.64,0.39,0.06954749626002008,67.63888888888889,,13185.0,0.64,0.36,0.0,0.0,0.36
endpoint_parity,30,0,0.9955111111111111,0.32,1.01,0.15044289916999326,38.838235294117645,,13185.0,0.32,0.68,0.0,0.0,0.68
endpoint_parity,30,1,0.9984000000000001,0.64,0.36,0.17080263874000587,208.91666666666666,,13185.0,0.64,0.36,0.0,0.0,0.36
endpoint_parity,30,2,0.998488888888889,0.66,0.34,0.1609110733499983,68.61764705882354,,13185.0,0.66,0.34,0.0,0.0,0.34
endpoint_parity,30,3,0.9982666666666666,0.61,0.39,0.16612615665999328,131.02564102564102,,13185.0,0.61,0.39,0.0,0.0,0.39
endpoint_parity,30,4,0.9970222222222221,0.51,0.67,0.1607469750000018,83.75510204081633,,13185.0,0.51,0.49,0.0,0.0,0.49
endpoint_parity,40,0,0.9959250000000001,0.25,1.63,0.47461920750998615,52.88,,13185.0,0.25,0.75,0.0,0.0,0.75
endpoint_parity,40,1,0.99925,0.73,0.3,0.5308053091600413,378.77777777777777,,13185.0,0.73,0.27,0.0,0.0,0.27
endpoint_parity,40,2,0.998125,0.51,0.75,0.4973279254099907,129.08163265306123,,13185.0,0.51,0.49,0.0,0.0,0.49
endpoint_parity,40,3,0.998375,0.5,0.65,0.5024452158300119,183.36,,13185.0,0.5,0.5,0.0,0.0,0.5
endpoint_parity,40,4,0.9976,0.5,0.96,0.50342146125,119.58,,13185.0,0.5,0.5,0.0,0.0,0.5
gnn_parity,15,0,1.0,1.0,0.0,0.010303869990002532,,,38337.0,1.0,0.0,0.0,0.0,0.0
