n,comparison,metric,difference,ci95_low,ci95_high,seed_differences,planned_role,interval_note
24,gnn_parity - uniform_parity,optimality_ratio,0.010180555555555549,0.008544974105229353,0.011816137005881744,"[0.008125000000000049, 0.010000000000000009, 0.011527777777777692, 0.010138888888888808, 0.011111111111111183]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
24,gnn_parity - uniform_parity,absolute_gap,-1.466,-1.7015237288469771,-1.2304762711530228,"[-1.17, -1.44, -1.66, -1.4600000000000002, -1.6]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - endpoint_parity,exact_optimum,0.29799999999999993,0.2057484593403275,0.3902515406596724,"[0.38999999999999996, 0.32999999999999996, 0.30999999999999994, 0.19000000000000006, 0.27]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - endpoint_parity,optimality_ratio,0.0017511111111111032,0.0007057946533718103,0.0027964275688503962,"[0.003066666666666662, 0.0014666666666666162, 0.0013777777777777, 0.0008444444444444255, 0.002000000000000113]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - endpoint_parity,absolute_gap,-0.394,-0.629196202991334,-0.15880379700866595,"[-0.69, -0.32999999999999996, -0.31000000000000005, -0.19, -0.45000000000000007]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - candidate_parity,exact_optimum,0.366,0.1889594384934036,0.5430405615065964,"[0.16999999999999993, 0.4099999999999999, 0.56, 0.31000000000000005, 0.38]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - candidate_parity,optimality_ratio,0.002631111111111073,0.0017123170404040322,0.0035499051818181134,"[0.001688888888888851, 0.002488888888888874, 0.0030222222222221484, 0.0023111111111110416, 0.00364444444444445]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - candidate_parity,absolute_gap,-0.592,-0.7987286659090806,-0.38527133409091935,"[-0.37999999999999995, -0.5599999999999999, -0.6799999999999999, -0.52, -0.8200000000000001]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - balance_parity,exact_optimum,-0.154,-0.3005479161168271,-0.007452083883172894,"[-0.29000000000000004, -0.030000000000000027, -0.030000000000000027, -0.19999999999999996, -0.21999999999999997]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - balance_parity,optimality_ratio,-0.0007111111111111068,-0.0014124175628369038,-9.804659385309676e-06,"[-0.0014222222222222136, -0.00013333333333331865, -0.00013333333333331865, -0.000888888888888939, -0.000977777777777744]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
