method,n,metric,mean,ci95_halfwidth,seed_count
candidate_parity,40,exact_rate,0.36,0.07852972645910242,5
candidate_parity,40,unbalanced_bipartite_rate,0.64,0.07852972645910244,5
candidate_parity,40,nonbipartite_rate,0.0,0.0,5
candidate_parity,40,odd_cycle_first_loss_rate,0.0,0.0,5
candidate_parity,40,partition_imbalance_first_loss_rate,0.64,0.07852972645910244,5
endpoint_parity,15,optimality_ratio,0.9997142857142857,0.0005781899231102777,5
endpoint_parity,15,exact_optimum,0.992,0.016189317847087076,5
endpoint_parity,15,absolute_gap,0.016,0.03237863569417413,5
endpoint_parity,15,inference_time_seconds,0.011761256748002723,0.0007810365790719178,5
endpoint_parity,15,first_loss_step,16.0,,2
endpoint_parity,15,first_odd_cycle_step,,,0
endpoint_parity,15,parameter_count,13185.0,0.0,5
endpoint_parity,15,exact_rate,0.992,0.016189317847087076,5
endpoint_parity,15,unbalanced_bipartite_rate,0.008,0.016189317847087065,5
endpoint_parity,15,nonbipartite_rate,0.0,0.0,5
endpoint_parity,15,odd_cycle_first_loss_rate,0.0,0.0,5
endpoint_parity,15,partition_imbalance_first_loss_rate,0.008,0.016189317847087065,5
endpoint_parity,24,optimality_ratio,0.9978055555555555,0.0013268824378332895,5
endpoint_parity,24,exact_optimum,0.7140000000000001,0.13158123768307217,5
endpoint_parity,24,absolute_gap,0.316,0.19107107104799878,5
endpoint_parity,24,inference_time_seconds,0.06789125517000498,0.0037257496661352563,5
endpoint_parity,24,first_loss_step,77.84563895662748,46.752328543548025,5
endpoint_parity,24,first_odd_cycle_step,,,0
endpoint_parity,24,parameter_count,13185.0,0.0,5
endpoint_parity,24,exact_rate,0.7140000000000001,0.13158123768307217,5
endpoint_parity,24,unbalanced_bipartite_rate,0.28600000000000003,0.13158123768307214,5
endpoint_parity,24,nonbipartite_rate,0.0,0.0,5
endpoint_parity,24,odd_cycle_first_loss_rate,0.0,0.0,5
endpoint_parity,24,partition_imbalance_first_loss_rate,0.28600000000000003,0.13158123768307214,5
endpoint_parity,30,optimality_ratio,0.9975377777777779,0.001589195781670281,5
endpoint_parity,30,exact_optimum,0.548,0.1736998733747381,5
endpoint_parity,30,absolute_gap,0.554,0.3575690508758059,5
endpoint_parity,30,inference_time_seconds,0.1618059485839985,0.009428591539882441,5
endpoint_parity,30,first_loss_step,106.23065841721305,82.4114092288305,5
endpoint_parity,30,first_odd_cycle_step,,,0
endpoint_parity,30,parameter_count,13185.0,0.0,5
endpoint_parity,30,exact_rate,0.548,0.1736998733747381,5
endpoint_parity,30,unbalanced_bipartite_rate,0.45199999999999996,0.17369987337473813,5
endpoint_parity,30,nonbipartite_rate,0.0,0.0,5
endpoint_parity,30,odd_cycle_first_loss_rate,0.0,0.0,5
endpoint_parity,30,partition_imbalance_first_loss_rate,0.45199999999999996,0.17369987337473813,5
endpoint_parity,40,optimality_ratio,0.997855,0.0015307317668563963,5
endpoint_parity,40,exact_optimum,0.49800000000000005,0.21097329265963718,5
endpoint_parity,40,absolute_gap,0.8579999999999999,0.6122927067425734,5
endpoint_parity,40,inference_time_seconds,0.5017238238320061,0.02485747532479677,5
endpoint_parity,40,first_loss_step,172.7358820861678,154.1649845488522,5
endpoint_parity,40,first_odd_cycle_step,,,0
endpoint_parity,40,parameter_count,13185.0,0.0,5
endpoint_parity,40,exact_rate,0.49800000000000005,0.21097329265963718,5
endpoint_parity,40,unbalanced_bipartite_rate,0.502,0.21097329265963718,5
endpoint_parity,40,nonbipartite_rate,0.0,0.0,5
endpoint_parity,40,odd_cycle_first_loss_rate,0.0,0.0,5
endpoint_parity,40,partition_imbalance_first_loss_rate,0.502,0.21097329265963718,5
gnn_parity,15,optimality_ratio,1.0,0.0,5
gnn_parity,15,exact_optimum,1.0,0.0,5
gnn_parity,15,absolute_gap,0.0,0.0,5
gnn_parity,15,inference_time_seconds,0.011431896164005547,0.0012445811777994785,5
gnn_parity,15,first_loss_step,,,0
gnn_parity,15,first_odd_cycle_step,,,0
gnn_parity,15,parameter_count,38337.0,0.0,5
gnn_parity,15,exact_rate,1.0,0.0,5
gnn_parity,15,unbalanced_bipartite_rate,0.0,0.0,5
gnn_parity,15,nonbipartite_rate,0.0,0.0,5
gnn_parity,15,odd_cycle_first_loss_rate,0.0,0.0,5
gnn_parity,15,partition_imbalance_first_loss_rate,0.0,0.0,5
gnn_parity,24,optimality_ratio,0.9992083333333334,0.0007531888217105881,5
gnn_parity,24,exact_optimum,0.8859999999999999,0.1084591903263242,5
gnn_parity,24,absolute_gap,0.11400000000000002,0.10845919032632423,5
gnn_parity,24,inference_time_seconds,0.06368203817001625,0.0059128839550086475,5
gnn_parity,24,first_loss_step,73.6375,62.52591401714588,5
gnn_parity,24,first_odd_cycle_step,,,0
gnn_parity,24,parameter_count,38337.0,0.0,5
gnn_parity,24,exact_rate,0.8859999999999999,0.1084591903263242,5
gnn_parity,24,unbalanced_bipartite_rate,0.11400000000000002,0.10845919032632423,5
gnn_parity,24,nonbipartite_rate,0.0,0.0,5
gnn_parity,24,odd_cycle_first_loss_rate,0.0,0.0,5
gnn_parity,24,partition_imbalance_first_loss_rate,0.11400000000000002,0.10845919032632423,5
gnn_parity,30,optimality_ratio,0.9992888888888889,0.0007013064517257971,5
gnn_parity,30,exact_optimum,0.8460000000000001,0.14654791611682713,5
gnn_parity,30,absolute_gap,0.16,0.15779395163830306,5
gnn_parity,30,inference_time_seconds,0.1532027040760003,0.014278075435693868,5
gnn_parity,30,first_loss_step,117.1644514106583,102.97311872564411,5
gnn_parity,30,first_odd_cycle_step,,,0
gnn_parity,30,parameter_count,38337.0,0.0,5
gnn_parity,30,exact_rate,0.8460000000000001,0.14654791611682713,5
gnn_parity,30,unbalanced_bipartite_rate,0.154,0.14654791611682713,5
gnn_parity,30,nonbipartite_rate,0.0,0.0,5
gnn_parity,30,odd_cycle_first_loss_rate,0.0,0.0,5
gnn_parity,30,partition_imbalance_first_loss_rate,0.154,0.14654791611682713,5
gnn_parity,40,optimality_ratio,0.999515,0.0003383391999448099,5
gnn_parity,40,exact_optimum,0.8059999999999998,0.13533567997794269,5
gnn_parity,40,absolute_gap,0.194,0.13533567997794269,5
gnn_parity,40,inference_time_seconds,0.4903250575040074,0.035070322221207866,5
gnn_parity,40,first_loss_step,207.68589285714287,166.76045161158157,5
gnn_parity,40,first_odd_cycle_step,,,0
gnn_parity,40,parameter_count,38337.0,0.0,5
gnn_parity,40,exact_rate,0.8059999999999998,0.13533567997794269,5
gnn_parity,40,unbalanced_bipartite_rate,0.194,0.13533567997794269,5
gnn_parity,40,nonbipartite_rate,0.0,0.0,5
gnn_parity,40,odd_cycle_first_loss_rate,0.0,0.0,5
gnn_parity,40,partition_imbalance_first_loss_rate,0.194,0.13533567997794269,5
uniform_parity,15,optimality_ratio,0.9867142857142858,0.0011899050450847827,5
uniform_parity,15,exact_optimum,0.69,0.03926486322955119,5
uniform_parity,15,absolute_gap,0.7440000000000001,0.06663468252474718,5
uniform_parity,15,inference_time_seconds,0.011221159915999987,0.0009654323851055057,5
uniform_parity,15,first_loss_step,16.41370664107038,0.6616942110550523,5
uniform_parity,15,first_odd_cycle_step,,,0
uniform_parity,15,parameter_count,0.0,0.0,5
uniform_parity,15,exact_rate,0.69,0.03926486322955119,5
uniform_parity,15,unbalanced_bipartite_rate,0.30999999999999994,0.0392648632295512,5
uniform_parity,15,nonbipartite_rate,0.0,0.0,5
uniform_parity,15,odd_cycle_first_loss_rate,0.0,0.0,5
uniform_parity,15,partition_imbalance_first_loss_rate,0.30999999999999994,0.0392648632295512,5
uniform_parity,24,optimality_ratio,0.9890277777777777,0.0012745806400580183,5
uniform_parity,24,exact_optimum,0.32,0.09124329682749831,5
uniform_parity,24,absolute_gap,1.5799999999999998,0.1835396121683619,5
uniform_parity,24,inference_time_seconds,0.06560066042000103,0.0037075296964106203,5
uniform_parity,24,first_loss_step,27.40290998217469,0.6112874744659642,5
uniform_parity,24,first_odd_cycle_step,,,0
uniform_parity,24,parameter_count,0.0,0.0,5
uniform_parity,24,exact_rate,0.32,0.09124329682749831,5
uniform_parity,24,unbalanced_bipartite_rate,0.6799999999999999,0.09124329682749831,5
uniform_parity,24,nonbipartite_rate,0.0,0.0,5
uniform_parity,24,odd_cycle_first_loss_rate,0.0,0.0,5
uniform_parity,24,partition_imbalance_first_loss_rate,0.6799999999999999,0.09124329682749831,5
uniform_parity,30,optimality_ratio,0.9910933333333333,0.0011801091334612197,5
uniform_parity,30,exact_optimum,0.29000000000000004,0.05267934198510507,5
uniform_parity,30,absolute_gap,2.004,0.2655245550287752,5
uniform_parity,30,inference_time_seconds,0.1513934499199931,0.0018331271895888112,5
uniform_parity,30,first_loss_step,34.93417773232956,0.6510125005224427,5
uniform_parity,30,first_odd_cycle_step,,,0
uniform_parity,30,parameter_count,0.0,0.0,5
uniform_parity,30,exact_rate,0.29000000000000004,0.05267934198510507,5
uniform_parity,30,unbalanced_bipartite_rate,0.71,0.05267934198510505,5
uniform_parity,30,nonbipartite_rate,0.0,0.0,5
uniform_parity,30,odd_cycle_first_loss_rate,0.0,0.0,5
uniform_parity,30,partition_imbalance_first_loss_rate,0.71,0.05267934198510505,5
uniform_parity,40,optimality_ratio,0.9935499999999999,0.0018525100470065752,5
uniform_parity,40,exact_optimum,0.24,0.07501541587026679,5
uniform_parity,40,absolute_gap,2.58,0.741004018802634,5
uniform_parity,40,inference_time_seconds,0.47836691099599926,0.011417586903350227,5
uniform_parity,40,first_loss_step,49.315561324234906,0.7545302856054625,5
uniform_parity,40,first_odd_cycle_step,,,0
uniform_parity,40,parameter_count,0.0,0.0,5
uniform_parity,40,exact_rate,0.24,0.07501541587026679,5
uniform_parity,40,unbalanced_bipartite_rate,0.76,0.07501541587026676,5
uniform_parity,40,nonbipartite_rate,0.0,0.0,5
uniform_parity,40,odd_cycle_first_loss_rate,0.0,0.0,5
uniform_parity,40,partition_imbalance_first_loss_rate,0.76,0.07501541587026676,5
